LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-118.2830636,37.1560095,994,S RICHARDS ST,,BIG PINE,,,,,94ec68f4b62cb942
-118.282414,37.1560103,975,S PIPER ST,,BIG PINE,,,,,4ff6982baca7b94a
-118.2824105,37.1563157,951,S PIPER ST,,BIG PINE,,,,,4ca3830d86922cc7
-118.2808447,37.1544585,1085,S NEWMAN ST,,BIG PINE,,,,,5197476146cc64f2
-118.2808506,37.1539205,1125,S NEWMAN ST,,BIG PINE,,,,,10b9f25da3715046
-118.2812456,37.1522581,545,BUTCHER LN,,BIG PINE,,,,,2482a4f34ad5d5ae
-118.2808564,37.1533879,1185,S NEWMAN ST,,BIG PINE,,,,,11adc9cae3afe634
-118.2839357,37.153803,1125,S RICHARDS ST,,BIG PINE,,,,,9073601d46d31ede
-118.2832148,37.1522739,451,BUTCHER LN,,BIG PINE,,,,,956505cd0cfd8bde
-118.2839244,37.1546159,1055,S RICHARDS ST,,BIG PINE,,,,,2a7762a6add2a7d6
-118.2808111,37.1572121,855,S NEWMAN ST,,BIG PINE,,,,,935a2a7a0ea6f532
-118.2859716,37.1656215,154,CALLINA ST,,BIG PINE,,,,,de32a2ea6462dedf
-118.2853056,37.1659355,143,N CRATER ST,,BIG PINE,,,,,ec9bcf73b41d1a25
-118.2868518,37.1656552,105,CALLINA ST,,BIG PINE,,,,,eac2f99068eee7cf
-118.2859769,37.1643801,264,N CRATER ST,,BIG PINE,,,,,4291504f22e36441
-118.2859795,37.1637593,314,CALLINA ST,,BIG PINE,,,,,449c937b4a2f877c
-118.285328,37.1637629,325,N CRATER ST,,BIG PINE,,,,,fdcbfa7c4c8517ad
-118.2853312,37.1634525,363,N CRATER ST,,BIG PINE,,,,,09eee6c5b6274955
-118.2853344,37.1631422,365,N CRATER ST,,BIG PINE,,,,,d55696b726d3c71b
-118.2868484,37.1642319,267,CALLINA ST,,BIG PINE,,,,,67fdb77db467af93
-118.2868491,37.1645165,255,CALLINA ST,,BIG PINE,,,,,b04f3c84b2a6a759
-118.2868471,37.1636625,335,CALLINA ST,,BIG PINE,,,,,868e143fc2fc395f
-118.2868464,37.1633779,345,CALLINA ST,,BIG PINE,,,,,d30cee9bf6b267e7
-118.285312,37.1653148,191,N CRATER ST,,BIG PINE,,,,,9ebe3fffc32094fa
-118.2859729,37.1653111,194,CALLINA ST,,BIG PINE,,,,,3cb37c22399cffbf
-118.2868511,37.1653705,195,CALLINA ST,,BIG PINE,,,,,8ab19e091db10929
-118.2851939,37.1623834,435,N CRATER ST,,BIG PINE,,,,,058dd10378ba6e9f
-118.2852542,37.161727,475,N CRATER ST,,BIG PINE,,,,,0cb0b79dbf8626e1
-118.2855404,37.1623823,414,CALLINA ST,,BIG PINE,,,,,8487720b091f0d83
-118.2859947,37.1602723,520,N BOWERS ST,,BIG PINE,,,,,671fc21845fbdab8
-118.2856414,37.1612584,425,N BOWERS ST,,BIG PINE,,,,,0b15d2cd22640ecf
-118.28626,37.161719,425,CALLINA ST,,BIG PINE,,,,,b9035ae56c1badcb
-118.2865013,37.1612519,455,N BOWERS ST,,BIG PINE,,,,,d77d56ea3aa8dc23
-118.2846627,37.1592889,688,BARTELL RD,,BIG PINE,,,,,2f8875fd4217cd81
-118.2860067,37.1592339,365,N BOWERS ST,,BIG PINE,,,,,4493aa70c2d2196c
-118.2853917,37.1592155,395,N CRATER ST,,BIG PINE,,,,,609a8fb2281031d6
-118.2859954,37.1584521,750,S BOWERS ST,,BIG PINE,,,,,64b8fe7a3d4511ce
-118.2853905,37.1581383,785,S CRATER ST,,BIG PINE,,,,,d4a9654fcba32653
-118.288296,37.1581258,785,HILL ST,,BIG PINE,,,,,31c32ac04a7bb7d2
-118.2874684,37.1584434,754,HILL ST,,BIG PINE,,,,,e69f2992c44f7d1d
-118.2874657,37.1574982,850,HILL ST,,BIG PINE,,,,,bbb65970a98c425a
-118.2882992,37.1587508,725,HILL ST,,BIG PINE,,,,,1adcc41f0566e25d
-118.2868268,37.1598068,615,N BOWERS ST,,BIG PINE,,,,,6fecc99aa5b510bb
-118.286828,37.1592054,335,N BOWERS ST,,BIG PINE,,,,,7124876b51bdc3ca
-118.2868048,37.1584463,755,S BOWERS ST,,BIG PINE,,,,,c59f57dee0beed5d
-118.2868092,37.157501,841,S BOWERS ST,,BIG PINE,,,,,c8aafd1baa9691e9
-118.2853797,37.160118,615,N CRATER ST,,BIG PINE,,,,,583c824928034e48
-118.2868262,37.1601074,525,N BOWERS ST,,BIG PINE,,,,,5077c2015c3904b0
-118.289935,37.1576867,825,S MAIN ST,,BIG PINE,,,,,cca6c952f41c3de7
-118.2913896,37.1582238,785,WATSON ST,,BIG PINE,,,,,d36dd71a55701836
-118.2913869,37.158497,755,WATSON ST,,BIG PINE,,,,,6224a57afd4ba72c
-118.2913923,37.1579506,795,WATSON ST,,BIG PINE,,,,,b2be92d90bfaf143
-118.2920328,37.1582092,750,HARRY ST,,BIG PINE,,,,,cf0a25865124d7c6
-118.2920355,37.1579277,786,HARRY ST,,BIG PINE,,,,,f7d26e82d5be628c
-118.2905798,37.1576869,820,WATSON ST,,BIG PINE,,,,,26df3787da5a3650
-118.2889574,37.1587365,706,S MAIN ST,,BIG PINE,,,,,73ecd0767733be61
-118.2889429,37.1574963,680,S MAIN ST,,BIG PINE,,,,,ec57090ef73596d0
-118.2859834,37.1628282,384,CALLINA ST,,BIG PINE,,,,,ad41ae340cfd3706
-118.286845,37.1628086,385,CALLINA ST,,BIG PINE,,,,,c1080aafc7526b4b
-118.2934998,37.1584955,754,S SCHOOL ST,,BIG PINE,,,,,45782577e15cdbeb
-118.2935077,37.1576462,820,S SCHOOL ST,,BIG PINE,,,,,82c5c4664f397705
-118.2935051,37.1579293,786,S SCHOOL ST,,BIG PINE,,,,,885f3530ad733e03
-118.2934977,37.1587778,340,S SCHOOL ST,,BIG PINE,,,,,7b9ce84b5c0a2dc4
-118.2928487,37.1584904,320,HARRY ST,,BIG PINE,,,,,140f79cdd55e0cb1
-118.2928514,37.158208,755,HARRY ST,,BIG PINE,,,,,8060ba17ee1d0461
-118.286016,37.1569032,884,S BOWERS ST,,BIG PINE,,,,,d9334794bd9b4cd0
-118.2854154,37.1569057,885,S CRATER ST,,BIG PINE,,,,,55d2605beca84c7e
-118.2854213,37.1566111,925,S CRATER ST,,BIG PINE,,,,,670ff8588d2d76cf
-118.2860317,37.1557247,994,S BOWERS ST,,BIG PINE,,,,,37e0657e51f755ca
-118.2854391,37.1557272,985,S CRATER ST,,BIG PINE,,,,,9bebb04f28631f78
-118.2860278,37.1560193,930,S BOWERS ST,,BIG PINE,,,,,de04d3bbb1d9fd88
-118.2854332,37.1560218,935,S CRATER ST,,BIG PINE,,,,,933475e9bc6f10d1
-118.287464,37.1569004,884,HILL ST,,BIG PINE,,,,,a484082eaf7363b0
-118.2874623,37.1563133,950,HILL ST,,BIG PINE,,,,,c1adc09eaf19f7e6
-118.2874606,37.1557222,994,HILL ST,,BIG PINE,,,,,db590d87410bcd02
-118.2882735,37.1558263,985,HILL ST,,BIG PINE,,,,,9fb2e6acf15dd126
-118.286812,37.1569032,883,S BOWERS ST,,BIG PINE,,,,,640a2acc99402281
-118.2868162,37.1560225,971,S BOWERS ST,,BIG PINE,,,,,9ee0f47903e62cb0
-118.2868148,37.1563161,951,S BOWERS ST,,BIG PINE,,,,,9e018ecc82313bbc
-118.2868176,37.155725,981,S BOWERS ST,,BIG PINE,,,,,0062be79802718df
-118.2888965,37.1564718,934,S MAIN ST,,BIG PINE,,,,,62322f21146d49be
-118.2899134,37.1568243,885,S MAIN ST,,BIG PINE,,,,,be6a24c1fcc34a21
-118.2914004,37.1571102,895,WATSON ST,,BIG PINE,,,,,bbb32185aa625f2e
-118.2914032,37.156823,925,WATSON ST,,BIG PINE,,,,,082e1bcf9475dbd4
-118.2920463,37.1568118,884,HARRY ST,,BIG PINE,,,,,e676466048defc74
-118.2920489,37.1565343,934,HARRY ST,,BIG PINE,,,,,7ce5e045f982c588
-118.2914142,37.1557027,975,WATSON ST,,BIG PINE,,,,,aa622bfeaefb99f9
-118.292057,37.1557019,974,HARRY ST,,BIG PINE,,,,,2f65a9cd3ef61fe4
-118.2905851,37.1568259,884,WATSON ST,,BIG PINE,,,,,c158229487625165
-118.2905833,37.1571161,864,WATSON ST,,BIG PINE,,,,,e85adf7a54456f98
-118.2905685,37.1562616,954,WATSON ST,,BIG PINE,,,,,73803a71bb992fc3
-118.2905675,37.156541,936,WATSON ST,,BIG PINE,,,,,06f7e332f7402588
