"DateTime","google"
"2017-11-18 15:57:39",0
"2017-11-18 15:57:40",0
"2017-11-18 15:57:41",0
"2017-11-18 15:57:42",0
"2017-11-18 15:57:43",0
"2017-11-18 15:57:44",0
"2017-11-18 15:57:45",0
"2017-11-18 15:57:46",0
"2017-11-18 15:57:47",0
"2017-11-18 15:57:48",0
"2017-11-18 15:57:49",0
"2017-11-18 15:57:50",0
"2017-11-18 15:57:51",0
"2017-11-18 15:57:52",0
"2017-11-18 15:57:53",0
"2017-11-18 15:57:54",0
"2017-11-18 15:57:55",0
"2017-11-18 15:57:56",0
"2017-11-18 15:57:57",0
"2017-11-18 15:57:58",2
"2017-11-18 15:57:58",0
"2017-11-18 15:57:59",3
"2017-11-18 15:58:00",9
"2017-11-18 15:58:01",8
"2017-11-18 15:58:02",17
"2017-11-18 15:58:03",8
"2017-11-18 15:58:04",7
"2017-11-18 15:58:05",8
"2017-11-18 15:58:06",4
"2017-11-18 15:58:07",8
"2017-11-18 15:58:08",4
"2017-11-18 15:58:09",7
"2017-11-18 15:58:10",12
"2017-11-18 15:58:11",12
"2017-11-18 15:58:12",8
"2017-11-18 15:58:13",12
"2017-11-18 15:58:14",14
"2017-11-18 15:58:15",7
"2017-11-18 15:58:16",10
"2017-11-18 15:58:17",9
"2017-11-18 15:58:18",4
"2017-11-18 15:58:19",8
"2017-11-18 15:58:20",7
"2017-11-18 15:58:21",8
"2017-11-18 15:58:22",12
"2017-11-18 15:58:23",6
"2017-11-18 15:58:24",12
"2017-11-18 15:58:25",12
"2017-11-18 15:58:26",4
"2017-11-18 15:58:27",7
"2017-11-18 15:58:28",10
"2017-11-18 15:58:29",9
"2017-11-18 15:58:30",10
"2017-11-18 15:58:31",4
"2017-11-18 15:58:32",11
"2017-11-18 15:58:33",3
"2017-11-18 15:58:34",1
"2017-11-18 15:58:35",5
"2017-11-18 15:58:36",7
"2017-11-18 15:58:37",5
"2017-11-18 15:58:38",8
"2017-11-18 15:58:39",3
